tailNumber;model;lastCheck;nextCheck;flightHours;status
SA8880;Airbus A330;2024-09-24;2026-03-27;2847;OK
KE2815;Airbus A350;2025-01-30;2026-01-28;3714;OK
DL6343;Airbus A350;2024-08-16;2025-07-11;1122;OK
QR5924;Airbus A320;2024-08-14;2025-07-19;1289;OK
AF1454;Boeing 737;2025-01-19;2025-11-20;4439;OK
ET4010;Boeing 747;2024-11-17;2026-01-28;883;OK
SK3823;Airbus A330;2024-12-12;2026-01-13;1723;OK
LA9571;Airbus A330;2024-06-26;2025-06-12;137;OK
AA7291;Airbus A320;2024-09-09;2025-06-06;4763;OK
BA8817;Boeing 737;2024-10-12;2025-11-26;1935;OK
AF8764;Boeing 747;2025-04-15;2026-02-04;1537;OK
WN2726;Airbus A320;2025-03-09;2025-12-13;4444;OK
AC1756;Airbus A350;2025-04-24;2025-12-15;3909;OK
SA7667;Boeing 737;2024-11-23;2025-10-28;4547;OK
TG8482;Airbus A320;2025-04-04;2025-10-30;3595;OK
TG5949;Airbus A350;2024-09-19;2026-03-12;1294;OK
SK7047;Boeing 737;2025-04-24;2025-11-29;1587;OK
AC5785;Airbus A320;2024-08-24;2026-05-07;3706;OK
SQ7108;Airbus A350;2024-11-19;2025-12-03;1414;OK
TG3656;Airbus A350;2025-03-25;2025-07-10;4663;OK
AV3043;Boeing 777;2024-10-22;2026-02-18;3173;OK
WN7069;Airbus A350;2024-08-03;2026-06-16;4424;OK
AZ8773;Boeing 737;2025-01-03;2026-05-01;3735;OK
ET2023;Boeing 777;2024-11-14;2026-02-19;2454;OK
AV2901;Boeing 737;2025-03-04;2025-06-29;1839;OK
AI9700;Boeing 737;2024-11-06;2025-12-23;3573;OK
SQ2554;Airbus A330;2024-07-30;2026-06-17;2134;OK
ET6215;Boeing 747;2025-05-22;2025-06-14;2692;OK
CX4520;Airbus A350;2025-03-12;2026-07-27;842;OK
SK1999;Boeing 747;2025-03-01;2025-08-06;3286;OK
AI6681;Boeing 737;2024-10-14;2026-07-20;3575;OK
AV6230;Boeing 737;2025-03-26;2025-06-10;1517;OK
KL9159;Boeing 747;2025-02-01;2025-06-25;4967;OK
AA4201;Airbus A330;2024-11-09;2026-01-22;2166;OK
TG8972;Airbus A330;2024-11-12;2025-07-29;896;OK
LH6321;Airbus A320;2024-07-06;2025-11-22;389;OK
TG9555;Airbus A320;2025-03-13;2026-05-15;4835;OK
KE7078;Airbus A330;2024-08-15;2025-06-14;3799;OK
NH6079;Boeing 737;2024-10-03;2026-04-22;1713;OK
